Mes y ano de ocurrencia;Azuay;Bolivar;Canar;Carchi;Cotopaxi;Chimborazo;El Oro;Esmeraldas;Guayas;Imbabura;Loja;Los Rios;Manabi;Morona Santiago;Napo;Pastaza;Pichincha;Tungurahua;Zamora Chinchipe;Galapagos;Sucumbios;Orellana;Santo Domingo de los Tsachilas;Santa Elena;Zona no delimitada
dic-15;0;0;0;0;3;2;3;5;23;1;2;7;10;0;0;1;16;1;0;0;1;2;1;0;0
ene-16;2;1;3;0;6;2;4;6;34;2;2;11;2;0;0;0;13;2;0;0;3;1;3;2;0
feb-16;1;1;1;3;1;1;10;7;20;1;1;5;4;1;1;0;11;0;0;0;1;0;0;3;0
mar-16;3;1;0;0;1;0;2;9;14;2;0;8;13;1;1;0;11;1;0;0;4;0;4;3;0
abr-16;3;0;0;0;3;1;3;8;29;0;1;4;7;0;0;0;12;2;0;0;0;1;3;0;0
may-16;6;1;0;0;2;0;5;11;26;1;4;1;9;2;0;0;15;1;1;0;0;2;1;1;0
jun-16;3;0;0;0;1;1;10;5;33;0;1;6;4;0;1;0;10;0;0;0;5;1;0;3;0
jul-16;3;0;0;1;0;0;5;8;22;0;1;9;11;1;0;1;17;0;1;0;4;0;3;0;0
ago-16;1;0;1;2;0;1;4;7;20;3;0;12;5;0;0;0;9;4;0;0;1;0;2;0;0
sep-16;3;0;0;1;3;0;3;2;24;2;1;4;15;0;0;1;12;1;1;0;3;1;2;3;0
oct-16;6;1;0;0;1;0;5;4;17;1;1;4;5;0;0;0;6;0;0;0;1;0;4;0;0
nov-16;3;3;1;1;1;2;3;3;31;0;1;10;7;1;1;0;10;3;0;0;3;3;1;0;1
dic-16;1;1;0;0;1;0;8;4;23;3;0;2;8;2;0;0;10;3;0;0;3;0;2;2;0
ene-17;4;1;1;0;3;1;11;2;22;2;0;10;16;1;0;0;14;0;0;0;1;3;0;3;0
feb-17;2;1;2;0;2;2;5;7;20;0;0;11;10;3;1;1;6;2;1;0;4;2;6;1;1
mar-17;7;1;0;0;1;2;4;8;27;1;1;8;10;1;0;0;8;2;0;0;8;1;1;0;2
abr-17;5;2;0;0;2;0;5;6;23;2;3;7;11;0;2;0;7;1;0;1;2;1;4;1;1
may-17;5;0;0;0;3;1;4;5;36;2;2;3;5;0;1;1;14;2;2;0;2;0;2;0;0
jun-17;2;0;1;0;3;0;3;6;24;1;0;4;8;0;0;0;15;0;1;0;4;0;4;1;3
jul-17;4;0;0;2;3;0;2;4;21;2;0;5;3;0;0;0;16;3;0;0;3;1;2;3;1
